Folder,Timestamp,Elapsed_Hours,Integral,P1
441,N/A,113.0,171017509052.71402,41.88203958970157
444,N/A,114.0,167549485887.47092,41.03272372544148
447,N/A,115.0,168123157814.53818,41.173215482654044
450,N/A,116.0,166410542808.6182,40.753797553594225
453,N/A,117.0,163685091797.13367,40.08633696552308
456,N/A,118.0,165366252730.56805,40.498051819521194
459,N/A,119.0,160434713237.91974,39.29032207644787
462,N/A,120.0,157857927937.333,38.659269591991034
465,N/A,121.0,155535190714.705,38.09043326141043
468,N/A,122.0,154944663593.35706,37.945813681742344
471,N/A,123.0,148959343617.07104,36.48001401250161
474,N/A,124.0,152167655108.428,37.26572671315666
477,N/A,125.0,146152385851.76202,35.79259249113531
480,N/A,126.0,147444181603.4865,36.10895214995163
483,N/A,127.0,144980383966.9134,35.505570246381964
486,N/A,128.0,147775693258.03268,36.190139066525596
489,N/A,129.0,149392773412.8937,36.58616059344851
492,N/A,130.0,145731922426.55902,35.68962136310335
495,N/A,131.0,142203975065.35712,34.82563011524406
498,N/A,132.0,136774417080.9051,33.49593607561619
501,N/A,133.0,139024579339.56598,34.046998860488344
504,N/A,134.0,139023804048.46198,34.04680899236963
507,N/A,135.0,140846672394.86444,34.49322786885618
510,N/A,136.0,136254037217.66446,33.36849549859778
513,N/A,137.0,136071695518.25476,33.323840174614695
516,N/A,138.0,135169938954.31201,33.10300077448238
519,N/A,139.0,134456106810.51395,32.92818390179751
522,N/A,140.0,132231998972.715,32.38350182198925
525,N/A,141.0,129732600673.90869,31.771401347126332
528,N/A,142.0,129845447759.89603,31.799037500576837
531,N/A,143.0,125577580414.14537,30.753840490467034
534,N/A,144.0,128958793973.59657,31.58189675758598
537,N/A,145.0,123581985675.20432,30.26512107030774
540,N/A,146.0,125971216877.65315,30.850241718855298
543,N/A,147.0,125689671773.60736,30.78129156714716
546,N/A,148.0,122908518906.21216,30.10018964289124
549,N/A,149.0,118417961356.86177,29.00045599512916
552,N/A,150.0,118428993036.53271,29.003157643909322
555,N/A,151.0,120545914815.70374,29.52158995095581
558,N/A,152.0,121564762693.42046,29.77110491224122
561,N/A,153.0,20767541993.936974,5.085953016090049
564,N/A,154.0,113379809877.83643,27.766617069090234
567,N/A,155.0,112613778815.30566,27.579016726496274
570,N/A,156.0,116508633558.8307,28.532863273952252
573,N/A,157.0,115703058030.1941,28.335578525918333
